legacy_id	target_family	replacement	evidence_key	review_route	parity_level	required_standalone_cells	service_contract	shared_systemd_executions	evidence_class	evidence_reference	promotion_ready	missing_acceptance
ubuntu-002	debian	nginx	debian/nginx	implemented-candidate	intent	3	yes	6	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
ubuntu-003	debian	apache	debian/apache	implemented-candidate	intent	3	yes	6	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
ubuntu-004	debian	vlc	debian/vlc	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-006	debian	ffmpeg	debian/ffmpeg	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-007	debian	monitoring-tools	debian/monitoring-tools	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-008	debian	wine	debian/wine	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-009	debian	qbittorrent	debian/qbittorrent	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-011	debian	gimp	debian/gimp	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-012	debian	nmap	debian/nmap	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-014	debian	steam	debian/steam	implemented-candidate	intent	1	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-015	debian	obs-studio	debian/obs-studio	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-016	debian	openshot	debian/openshot	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-020	debian	tor-browser	debian/tor-browser	implemented-candidate	intent	1	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-023	debian	vuze	debian/vuze	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-024	debian	qbittorrent	debian/qbittorrent	superseded-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-025	debian	deluge	debian/deluge	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-026	debian	transmission	debian/transmission	implemented-candidate	intent	3	yes	6	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
ubuntu-027	debian	mpv	debian/mpv	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-028	debian	smplayer	debian/smplayer	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-029	debian	kazam	debian/kazam	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-030	debian	audacity	debian/audacity	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-031	debian	playonlinux	debian/playonlinux	implemented-candidate	intent	1	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-032	debian	conky	debian/conky	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-033	debian	handbrake	debian/handbrake	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-034	debian	inkscape	debian/inkscape	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-038	debian	libreoffice	debian/libreoffice	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-040	debian	kodi	debian/kodi	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-043	debian	krita	debian/krita	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-044	debian	kdenlive	debian/kdenlive	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-045	debian	qt	debian/qt	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-047	debian	irssi	debian/irssi	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-048	debian	clementine	debian/clementine	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-053	debian	geary	debian/geary	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-054	debian	uget	debian/uget	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-055	debian	sayonara	debian/sayonara	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-060	debian	musicbrainz-picard	debian/musicbrainz-picard	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-062	debian	timeshift	debian/timeshift	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-064	debian	stacer	debian/stacer	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-066	debian	docker	debian/docker	implemented-candidate	intent	3	yes	6	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
ubuntu-067	debian	python	debian/python	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-068	debian	telegram	debian/telegram	implemented-candidate	intent	1	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-070	debian	shotcut	debian/shotcut	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-071	debian	okular	debian/okular	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-072	debian	weechat	debian/weechat	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-073	debian	quassel	debian/quassel	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-074	debian	konversation	debian/konversation	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-080	debian	simplescreenrecorder	debian/simplescreenrecorder	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-082	debian	shutter	debian/shutter	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-084	debian	plank	debian/plank	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-085	debian	thonny	debian/thonny	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-086	debian	bluefish	debian/bluefish	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-087	debian	vim	debian/vim	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
