legacy_id	source_set	source_path	source_item	display_name	normalized_capability	target_family	disposition	replacement	parity_level	evidence	rationale
ubuntu-001	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:001	PHP7.3 (PPA)	php7-3	debian	retired	php	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	The PHP 7.3 PPA pin is unsupported; the active php module follows the supported distribution package instead.
ubuntu-002	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:002	Nginx (PPA)	nginx	debian	planned	nginx	intent	-	Candidate mapping to the active nginx module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-003	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:003	Apache2 (PPA)	apache2	debian	planned	apache	intent	-	Candidate mapping to the active apache module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-004	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:004	VLC (Snap)	vlc	debian	implemented	vlc	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution VLC package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the Snap dependency and optional hand-written desktop file are intentionally not retained.
ubuntu-005	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:005	Visual Studio Code	visual-studio-code	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-006	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:006	FFMPEG (PPA)	ffmpeg	debian	implemented	ffmpeg	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active ffmpeg module has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the preserved PPA side effect is intentionally not retained.
ubuntu-007	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:007	Monitoring Tools	monitoring-tools	debian	implemented	monitoring-tools	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active monitoring-tools module has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04 for the exact legacy command bundle; it does not configure or start Monit.
ubuntu-008	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:008	WineHQ Staging	winehq-staging	debian	implemented	wine	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Wine package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the obsolete WineHQ Xenial staging channel and legacy i386 mutation are intentionally not retained.
ubuntu-009	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:009	Qbittorrent	qbittorrent	debian	implemented	qbittorrent	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active qBittorrent module has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the obsolete PPA and optional desktop-file side effect are intentionally not retained.
ubuntu-010	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:010	Netbeans 10	netbeans-10	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	NetBeans 10 is an unsupported archived release; use a current upstream-supported NetBeans channel.
ubuntu-011	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:011	Gimp (Flatpak)	gimp	debian	implemented	gimp	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution GIMP package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy Flatpak PPA, downloaded ref, and mispointed optional desktop entry are intentionally not retained.
ubuntu-012	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:012	Nmap	nmap	debian	implemented	nmap	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Nmap package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; downloaded RPM conversion and optional user desktop-file side effects are intentionally not retained.
ubuntu-013	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:013	Skype	skype	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	Microsoft retired Skype and documents Teams Free as its migration path.
ubuntu-014	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:014	Steam	steam	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-015	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:015	OBS-Studio (PPA)	obs-studio	debian	implemented	obs-studio	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution OBS Studio package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-016	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:016	OpenShot	openshot	debian	implemented	openshot	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution OpenShot package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-017	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:017	Oracle VirtualBox 6	oracle-virtualbox-6	debian	retired	-	unassessed	docs/LEGACY_DISPOSITIONS.md#retired-pinned-or-discontinued-products	VirtualBox 6.x and the legacy extension-pack workflow are outside upstream support; use a current vendor-supported virtualization release.
ubuntu-018	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:018	Sublime Text 3	sublime-text-3	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-019	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:019	Brave (Web Browser)	brave	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-020	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:020	Tor Browser	tor-browser	debian	blocked-third-party	-	unassessed	-	An exact Ubuntu 24.04 x86_64 package-only candidate exists, but this legacy row stays blocked until accepted solver, real-install, repeat-state and intent-parity evidence promotes it.
ubuntu-021	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:021	VMware Workstation 15 Pro	vmware-workstation-15-pro	debian	out-of-scope	-	unassessed	docs/LEGACY_DISPOSITIONS.md#reviewed-vendor-or-deployment-handoffs	VMware requires a portal-authenticated download, license acceptance and privileged host integration; use Broadcom's supported Workstation workflow.
ubuntu-022	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:022	Eclipse IDE	eclipse-ide	debian	blocked-third-party	-	unassessed	-	A reviewed signed repository, distro-component, authenticated artifact or provider workflow is required; the active package-only installer does not yet own one.
ubuntu-023	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:023	Vuze (Bittorrent Client)	vuze	debian	planned	vuze	intent	-	Candidate mapping to the active vuze module recorded; accepted per-image real-install and parity evidence remain pending.
ubuntu-024	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:024	Utorrent (Snap)	utorrent	debian	superseded	qbittorrent	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The accepted qBittorrent module is the reviewed supported BitTorrent-client supersession for the legacy Snap uTorrent wrapper; no Snap store dependency is retained.
ubuntu-025	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:025	Deluge (PPA)	deluge	debian	implemented	deluge	intent	https://github.com/Yunushan/linux-software-installer/actions/runs/29640717432#artifact-digest=e744fab69651ad0d2adce755e7a65da1191822af6524d44b8b1d1d259140d477	The active distribution Deluge package has accepted clean-install and repeat-install evidence on Debian 12, Ubuntu 24.04 and Ubuntu 26.04; the legacy PPA and optional hand-written desktop file are intentionally not retained.
ubuntu-026	ubuntu	legacy/ubuntu-16.04/Ubuntu16-04-install-script.sh	menu:026	Transmission (PPA)	transmission	debian	planned	transmission	intent	-	Candidate mapping to the active transmission module recorded; accepted per-image real-install and parity evidence remain pending.
